text,label
"Excellent sound quality and very comfortable to wear",Trusted
"Very satisfied, works exactly as described",Trusted
"High-quality build and fast shipping",Trusted
"Product exceeded my expectations, highly recommend",Trusted
"Good value for the price, happy with purchase",Trusted
"Item arrived on time and works perfectly",Trusted
"Five stars, no complaints",Trusted
"Fantastic product, would buy again",Trusted
"Really happy with the performance",Trusted
"Great experience, product matches description",Trusted
"Average product, not bad but not great",Suspicious
"Works okay, but feels cheaply made",Suspicious
"Product is decent but shipping was late",Suspicious
"Not sure if this is authentic, looks slightly off",Suspicious
"Quality is okay, could be better",Suspicious
"Some features are missing, but usable",Suspicious
"Mixed feelings about this product",Suspicious
"Not very impressed, expected more",Suspicious
"Performance is inconsistent",Suspicious
"Packaging looked suspicious",Suspicious
"Do not buy! Total scam, wasted money",Fake
"Fake product, did not match description",Fake
"Received a broken item, seller unresponsive",Fake
"Terrible quality, feels like a knockoff",Fake
"Cheap materials, looks fake",Fake
"Seller shipped the wrong item",Fake
"Reviews are fake, do not trust",Fake
"Product stopped working after one day",Fake
"Completely dissatisfied, scam product",Fake
"False advertising, do not buy",Fake
"Suspiciously cheap, probably counterfeit",Fake
"Fraudulent seller, avoid this listing",Fake
"Fake reviews, misleading information",Fake
"Product does not work as advertised",Fake
"Item looks counterfeit, low quality",Fake
"Definitely not authentic, beware",Fake
"Misleading description, waste of money",Fake
"Fake item, seller is a scammer",Fake
"Overpriced for low quality, probably fake",Fake
"Product is fake, returning immediately",Fake
"Received different item than advertised",Fake
"Scam product, never buying again",Fake
"Fake labeling, item is defective",Fake
"Do not trust this listing, fake",Fake
"Item is poorly made, suspicious origin",Suspicious
"Not sure if original, looks copied",Suspicious
"Could be fake, seller seems shady",Suspicious
"Average quality, might be counterfeit",Suspicious
"Seems okay, but reviews are suspicious",Suspicious
"Decent product but questionable authenticity",Suspicious
